PID,Type,Module Name,Base Address,Size,Endaddress,Timestamp
10200,Benign,C:\Windows\System32\directmanipulation.dll                                                                                   , 0x7ffab6e70000 , 0x9d000   , 0x7ffab6f0d000 , 0xeba9e8e4
10200,Benign,C:\Windows\System32\xmllite.dll                                                                                              , 0x7ffad3e80000 , 0x37000   , 0x7ffad3eb7000 , 0x5f16f639
10200,Benign,C:\Windows\System32\CoreUIComponents.dll                                                                                     , 0x7ffac6660000 , 0x36c000  , 0x7ffac69cc000 , 0xfbfd1217
10200,Benign,C:\Windows\System32\windows.applicationmodel.datatransfer.dll                                                                , 0x7ffac5a00000 , 0xe1000   , 0x7ffac5ae1000 , 0x6426e698
10200,Benign,C:\Windows\System32\CoreShellAPI.dll                                                                                         , 0x7ffa7b0f0000 , 0x9a000   , 0x7ffa7b18a000 , 0x03e176c8
10200,Benign,C:\Windows\System32\twinapi.dll                                                                                              , 0x7ffab1e80000 , 0xca000   , 0x7ffab1f4a000 , 0xdb92ec49
10200,Benign,C:\Windows\System32\DragDropExperienceDataExchangeDelegated.dll                                                              , 0x7ffaa9a20000 , 0x12000   , 0x7ffaa9a32000 , 0x1b458602
10200,Benign,C:\Windows\System32\Windows.UI.Core.TextInput.dll                                                                            , 0x7ffac55a0000 , 0x173000  , 0x7ffac5713000 , 0x7041da7a
10200,Benign,C:\Windows\System32\ninput.dll                                                                                               , 0x7ffab1e10000 , 0x6b000   , 0x7ffab1e7b000 , 0x6e637bfc
10200,Benign,C:\Windows\System32\windowscodecs.dll                                                                                        , 0x7ffad5c40000 , 0x1b0000  , 0x7ffad5df0000 , 0x05e3e8d4
10200,Benign,C:\Windows\System32\wuceffects.dll                                                                                           , 0x7ffac4920000 , 0x4f000   , 0x7ffac496f000 , 0xf5fae539
10200,Benign,C:\Windows\System32\dui70.dll                                                                                                , 0x7ffa76c60000 , 0x1bc000  , 0x7ffa76e1c000 , 0xfa9be0f8
10200,Benign,C:\Windows\System32\duser.dll                                                                                                , 0x7ffabbfd0000 , 0x99000   , 0x7ffabc069000 , 0x6f82e2a9
