PID,Type,VA Start,RVA,Size
10076,Benign,0x22b400ed0000 , 0x7e12305  , 0x2000
10076,Benign,0x22b400f70000 , 0x7e14305  , 0x8000
10076,Benign,0x22b401001000 , 0x7e1c305  , 0x1000
10076,Benign,0x22b401054000 , 0x7e1d305  , 0x7000
10076,Benign,0x22b40105c000 , 0x7e24305  , 0x6000
10076,Benign,0x22b401074000 , 0x7e2a305  , 0x18000
10076,Benign,0x22b4011a4000 , 0x7e42305  , 0x4000
10076,Benign,0x22b401201000 , 0x7e46305  , 0x1000
10076,Benign,0x22b401360000 , 0x7e47305  , 0x3000
10076,Benign,0x22b401374000 , 0x7e4a305  , 0x20000
10076,Benign,0x22b4013e4000 , 0x7e6a305  , 0x2000
10076,Benign,0x22b4013f0000 , 0x7e6c305  , 0xb000
10076,Benign,0x22b401401000 , 0x7e77305  , 0x1000
10076,Benign,0x22b40140c000 , 0x7e78305  , 0x1000
10076,Benign,0x22b401601000 , 0x7e79305  , 0x1000
10076,Benign,0x22b401700000 , 0x7e7a305  , 0xb000
10076,Benign,0x22b40171c000 , 0x7e85305  , 0x7000
10076,Benign,0x22b4017b0000 , 0x7e8c305  , 0x2000
10076,Benign,0x22b4017e8000 , 0x7e8e305  , 0x4000
10076,Benign,0x22b401801000 , 0x7e92305  , 0x1000
10076,Benign,0x22b401a01000 , 0x7e93305  , 0x1000
10076,Benign,0x22b401be8000 , 0x7e94305  , 0x1000
10076,Benign,0x22b401bec000 , 0x7e95305  , 0x6000
10076,Benign,0x22b402401000 , 0x7e9b305  , 0x1000
10076,Benign,0x22b40242c000 , 0x7e9c305  , 0x1000
10076,Benign,0x22b402801000 , 0x7e9d305  , 0x1000
10076,Benign,0x22b402850000 , 0x7e9e305  , 0xc000
10076,Benign,0x22b4029e0000 , 0x7eaa305  , 0x5000
10076,Benign,0x22b403a01000 , 0x7eaf305  , 0x1000
10076,Benign,0x22b403a0c000 , 0x7eb0305  , 0x14000
10076,Benign,0x22b403a70000 , 0x7ec4305  , 0x2000
10076,Benign,0x22b403a74000 , 0x7ec6305  , 0x2000
10076,Benign,0x22b403a7c000 , 0x7ec8305  , 0x5000
10076,Benign,0x22b403a84000 , 0x7ecd305  , 0x2000
10076,Benign,0x22b403a8c000 , 0x7ecf305  , 0xf000
10076,Benign,0x22b403a9c000 , 0x7ede305  , 0xf000
10076,Benign,0x22b403aac000 , 0x7eed305  , 0x1000
10076,Benign,0x22b403abc000 , 0x7eee305  , 0xf000
10076,Benign,0x22b403acc000 , 0x7efd305  , 0x7000
10076,Benign,0x22b403adc000 , 0x7f04305  , 0xa000
10076,Benign,0x22b403aec000 , 0x7f0e305  , 0x4000
10076,Benign,0x22b403afc000 , 0x7f12305  , 0x7000
10076,Benign,0x22b403b0c000 , 0x7f19305  , 0xc000
10076,Benign,0x22b403b20000 , 0x7f25305  , 0x13000
10076,Benign,0x22b403b44000 , 0x7f38305  , 0x4000
10076,Benign,0x22b403b4c000 , 0x7f3c305  , 0x2000
10076,Benign,0x22b403b6c000 , 0x7f3e305  , 0x2000
10076,Benign,0x22b403b70000 , 0x7f40305  , 0x1a000
10076,Benign,0x22b403bb8000 , 0x7f5a305  , 0x7000
10076,Benign,0x22b403bf0000 , 0x7f61305  , 0x7000
10076,Benign,0x22b403bf8000 , 0x7f68305  , 0x3000
10076,Benign,0x22b403c01000 , 0x7f6b305  , 0x1000
10076,Benign,0x22b403c10000 , 0x7f6c305  , 0x1a000
10076,Benign,0x22b403c48000 , 0x7f86305  , 0xc000
10076,Benign,0x22b403c5c000 , 0x7f92305  , 0xe000
10076,Benign,0x22b403c6c000 , 0x7fa0305  , 0xf000
10076,Benign,0x22b403d6c000 , 0x7faf305  , 0x3b000
10076,Benign,0x22b403da8000 , 0x7fea305  , 0x43000
10076,Benign,0x22b403dec000 , 0x802d305  , 0x10000
10076,Benign,0x22b403e01000 , 0x803d305  , 0x1000
10076,Benign,0x22b403e0c000 , 0x803e305  , 0x43000
10076,Benign,0x22b403e50000 , 0x8081305  , 0x4b000
10076,Benign,0x22b403e9c000 , 0x80cc305  , 0x43000
10076,Benign,0x22b403ee0000 , 0x810f305  , 0x2c000
10076,Benign,0x22b403f18000 , 0x813b305  , 0x4000
10076,Benign,0x22b403fd4000 , 0x813f305  , 0x8000
10076,Benign,0x22b404001000 , 0x8147305  , 0x1000
10076,Benign,0x22b4040ec000 , 0x8148305  , 0x13000
10076,Benign,0x22b404108000 , 0x815b305  , 0x42000
10076,Benign,0x22b404168000 , 0x819d305  , 0xc000
10076,Benign,0x22b404180000 , 0x81a9305  , 0x36000
10076,Benign,0x22b4041bc000 , 0x81df305  , 0xf000
10076,Benign,0x22b4041cc000 , 0x81ee305  , 0x6000
10076,Benign,0x22b404201000 , 0x81f4305  , 0x1000
10076,Benign,0x22b40420c000 , 0x81f5305  , 0x10000
10076,Benign,0x22b404220000 , 0x8205305  , 0x7000
10076,Benign,0x22b404228000 , 0x820c305  , 0xa000
10076,Benign,0x22b40423c000 , 0x8216305  , 0xb000
10076,Benign,0x22b404250000 , 0x8221305  , 0x7000
10076,Benign,0x22b404258000 , 0x8228305  , 0xb000
10076,Benign,0x22b404264000 , 0x8233305  , 0x1000
10076,Benign,0x22b404268000 , 0x8234305  , 0x2000
10076,Benign,0x22b404401000 , 0x8236305  , 0x1000
10076,Benign,0x22b404418000 , 0x8237305  , 0x4000
10076,Benign,0x22b40442c000 , 0x823b305  , 0x6000
10076,Benign,0x22b40447c000 , 0x8241305  , 0x15000
10076,Benign,0x22b4044a4000 , 0x8256305  , 0xf000
10076,Benign,0x22b4044c4000 , 0x8265305  , 0xa0000
10076,Benign,0x22b404590000 , 0x8305305  , 0x28000
10076,Benign,0x22b4045d0000 , 0x832d305  , 0xf000
10076,Benign,0x22b4045e0000 , 0x833c305  , 0xb000
10076,Benign,0x22b4045ec000 , 0x8347305  , 0xc000
10076,Benign,0x22b404601000 , 0x8353305  , 0x1000
10076,Benign,0x22b404634000 , 0x8354305  , 0x8000
10076,Benign,0x22b404640000 , 0x835c305  , 0xc000
10076,Benign,0x22b404658000 , 0x8368305  , 0x7000
10076,Benign,0x22b404660000 , 0x836f305  , 0x8000
10076,Benign,0x22b404674000 , 0x8377305  , 0x4000
